ID,From_Varient,To_Varient,WO,Updated_by,Updated_dt,Approved_by,Approved_dt
80,H&S SS,H&S SB,0,System,20:58.7,NULL,NULL
91,H&S SB,PTN LB (Colossus),1,System,20:58.7,NULL,NULL
92,H&S SB,PTN HFC (Colossus),1,System,20:58.7,NULL,NULL
93,H&S SB,PTN AD (Colossus),1,System,20:58.7,NULL,NULL
94,H&S SB,PTN TDC (Colossus),1,System,20:58.7,NULL,NULL
95,H&S SB,PTN SSC/ DMR (Colossus),1,System,20:58.7,NULL,NULL
96,H&S SB,H&S BC,1,System,20:58.7,NULL,NULL
97,H&S SB,H&S DSC,0,System,20:58.7,NULL,NULL
98,H&S SB,H&S SS,0,System,20:58.7,NULL,NULL
99,H&S SB,H&S AHF,0,System,20:58.7,NULL,NULL
100,H&S SB,H&S SB,0,System,20:58.7,NULL,NULL
101,H&S SS 2IN1,H&S AHF,0,kumar.a.34@pg.com,01:00.0,digitalbaddinews.im@pg.com,32:22.4
102,H&S SS 2IN1,H&S BC,1,kumar.a.34@pg.com,01:00.0,digitalbaddinews.im@pg.com,32:22.4
103,H&S SS 2IN1,H&S DSC,0,kumar.a.34@pg.com,01:00.0,digitalbaddinews.im@pg.com,32:22.4
104,H&S SS 2IN1,H&S SB,0,kumar.a.34@pg.com,01:00.0,digitalbaddinews.im@pg.com,32:22.5
105,H&S SS 2IN1,H&S SS,0,kumar.a.34@pg.com,01:00.0,digitalbaddinews.im@pg.com,32:22.5
106,H&S SS 2IN1,H&S SS 2IN1,0,kumar.a.34@pg.com,01:00.0,digitalbaddinews.im@pg.com,32:22.5
107,H&S SS 2IN1,PTN AD (Colossus),1,kumar.a.34@pg.com,01:00.0,digitalbaddinews.im@pg.com,32:22.5
108,H&S SS 2IN1,PTN HFC (Colossus),1,kumar.a.34@pg.com,01:00.0,digitalbaddinews.im@pg.com,32:22.5
109,H&S SS 2IN1,PTN LB (Colossus),1,kumar.a.34@pg.com,01:00.0,digitalbaddinews.im@pg.com,32:22.5
110,H&S SS 2IN1,PTN SSC/ DMR (Colossus),1,kumar.a.34@pg.com,01:00.0,digitalbaddinews.im@pg.com,32:22.6
111,H&S SS 2IN1,PTN TDC (Colossus),1,kumar.a.34@pg.com,01:00.0,digitalbaddinews.im@pg.com,32:22.6
113,H&S DSC,H&S SS 2IN1,0,pujari.ds@pg.com,09:00.0,digitalbaddinews.im@pg.com,22:38.0
114,H&S SB,H&S SS 2IN1,0,pujari.ds@pg.com,10:00.0,digitalbaddinews.im@pg.com,22:38.0
115,H&S SS,H&S SS 2IN1,0,pujari.ds@pg.com,11:00.0,digitalbaddinews.im@pg.com,22:38.1
116,H&S SS 2IN1,H&S SS 2IN1,0,pujari.ds@pg.com,11:00.0,digitalbaddinews.im@pg.com,22:38.1
117,H&S BC,H&S SS 2IN1,0,pujari.ds@pg.com,13:00.0,digitalbaddinews.im@pg.com,22:38.1
118,PTN AD (Colossus),H&S SS 2IN1,0,pujari.ds@pg.com,14:00.0,digitalbaddinews.im@pg.com,22:38.2
119,PTN HFC (Colossus),H&S SS 2IN1,0,pujari.ds@pg.com,15:00.0,digitalbaddinews.im@pg.com,22:38.2
120,PTN LB (Colossus),H&S SS 2IN1,0,pujari.ds@pg.com,15:00.0,digitalbaddinews.im@pg.com,22:38.2
121,PTN SSC/ DMR (Colossus),H&S SS 2IN1,0,pujari.ds@pg.com,16:00.0,digitalbaddinews.im@pg.com,22:38.3
122,PTN TDC (Colossus),H&S SS 2IN1,0,pujari.ds@pg.com,16:00.0,digitalbaddinews.im@pg.com,22:38.3
123,H&S AHF,H&S SS 2IN1,0,pujari.ds@pg.com,01:00.0,sharma.b.10@pg.com,05:17.4
124,H&S AHF,H&S BC,1,pujari.ds@pg.com,01:00.0,digitalbaddinews.im@pg.com,16:56.0
125,H&S AHF,PTN LB (Colossus),1,pujari.ds@pg.com,01:00.0,digitalbaddinews.im@pg.com,17:11.3
126,H&S AHF,PTN HFC (Colossus),1,pujari.ds@pg.com,01:00.0,digitalbaddinews.im@pg.com,17:11.3
127,H&S AHF,PTN AD (Colossus),1,pujari.ds@pg.com,01:00.0,digitalbaddinews.im@pg.com,17:11.4
128,H&S AHF,PTN TDC (Colossus),1,pujari.ds@pg.com,01:00.0,digitalbaddinews.im@pg.com,17:11.4
129,H&S AHF,PTN SSC/ DMR (Colossus),1,pujari.ds@pg.com,01:00.0,digitalbaddinews.im@pg.com,17:11.4
130,H&S AHF,H&S DSC,0,pujari.ds@pg.com,01:00.0,digitalbaddinews.im@pg.com,17:11.4
131,H&S AHF,H&S SS,0,pujari.ds@pg.com,01:00.0,digitalbaddinews.im@pg.com,17:11.4
132,H&S AHF,H&S AHF,0,pujari.ds@pg.com,01:00.0,digitalbaddinews.im@pg.com,17:11.4
133,H&S AHF,H&S SB,0,pujari.ds@pg.com,01:00.0,digitalbaddinews.im@pg.com,17:11.4
134,HC Base,H&S AHF,1,pujari.ds@pg.com,39:00.0,digitalbaddinews.im@pg.com,57:18.2
135,HC Base,H&S BC,1,pujari.ds@pg.com,39:00.0,digitalbaddinews.im@pg.com,57:18.2
136,HC Base,H&S DSC,1,pujari.ds@pg.com,39:00.0,digitalbaddinews.im@pg.com,57:18.2
137,HC Base,H&S SB,1,pujari.ds@pg.com,39:00.0,digitalbaddinews.im@pg.com,57:18.3
138,HC Base,H&S SS,1,pujari.ds@pg.com,39:00.0,digitalbaddinews.im@pg.com,57:18.3
139,HC Base,H&S SS 2IN1,1,pujari.ds@pg.com,39:00.0,digitalbaddinews.im@pg.com,57:18.3
140,HC Base,PTN AD (Colossus),1,pujari.ds@pg.com,39:00.0,digitalbaddinews.im@pg.com,57:18.3
141,HC Base,PTN HFC (Colossus),1,pujari.ds@pg.com,39:00.0,digitalbaddinews.im@pg.com,57:18.3
142,HC Base,PTN LB (Colossus),1,pujari.ds@pg.com,39:00.0,digitalbaddinews.im@pg.com,57:18.3
143,HC Base,PTN SSC/ DMR (Colossus),1,pujari.ds@pg.com,39:00.0,digitalbaddinews.im@pg.com,57:18.4
144,HC Base,PTN TDC (Colossus),1,pujari.ds@pg.com,39:00.0,digitalbaddinews.im@pg.com,57:18.4
147,H&S AHF,HC Base,1,pujari.ds@pg.com,01:57.4,digitalbaddinews.im@pg.com,57:18.4
149,H&S BC,HC Base,1,pujari.ds@pg.com,03:31.3,NULL,NULL
150,PTN LB (Colossus),HC Base,1,System,03:31.3,NULL,NULL
151,PTN HFC (Colossus),HC Base,1,System,03:31.3,NULL,NULL
152,PTN AD (Colossus),HC Base,1,System,03:31.3,NULL,NULL
153,PTN TDC (Colossus),HC Base,1,System,03:31.3,NULL,NULL
154,PTN SSC/ DMR (Colossus),HC Base,1,System,03:31.3,NULL,NULL
155,H&S DSC,HC Base,1,System,03:31.3,NULL,NULL
156,H&S SS,HC Base,1,System,03:31.3,NULL,NULL
157,H&S SS 2IN1,HC Base,1,System,03:31.3,NULL,NULL
158,H&S SB,HC Base,1,System,03:31.3,NULL,NULL
159,HC Base,HC Base,0,pujari.ds@pg.com,39:00.0,digitalbaddinews.im@pg.com,57:18.3
160,PTN NST,H&S AHF,0,kumar.a.34@pg.com,00:00.0,sharma.b.10@pg.com,03:50.0
161,PTN NST,H&S BC,0,kumar.a.34@pg.com,00:00.0,sharma.b.10@pg.com,03:50.0
162,PTN NST,H&S DSC,0,kumar.a.34@pg.com,00:00.0,sharma.b.10@pg.com,03:50.0
163,PTN NST,H&S SB,0,kumar.a.34@pg.com,00:00.0,sharma.b.10@pg.com,03:50.0
164,PTN NST,H&S SS,0,kumar.a.34@pg.com,00:00.0,sharma.b.10@pg.com,03:50.0
165,PTN NST,H&S SS 2IN1,0,kumar.a.34@pg.com,00:00.0,sharma.b.10@pg.com,03:50.0
166,PTN NST,HC Base,1,kumar.a.34@pg.com,00:00.0,sharma.b.10@pg.com,03:50.1
167,PTN NST,PTN AD (Colossus),0,kumar.a.34@pg.com,00:00.0,sharma.b.10@pg.com,03:50.1
168,PTN NST,PTN HFC (Colossus),0,kumar.a.34@pg.com,00:00.0,sharma.b.10@pg.com,03:50.1
169,PTN NST,PTN LB (Colossus),0,kumar.a.34@pg.com,00:00.0,sharma.b.10@pg.com,03:50.1
170,PTN NST,PTN NST,0,kumar.a.34@pg.com,00:00.0,sharma.b.10@pg.com,03:50.1
171,PTN NST,PTN SSC/ DMR (Colossus),0,kumar.a.34@pg.com,00:00.0,sharma.b.10@pg.com,03:50.1
172,PTN NST,PTN TDC (Colossus),0,kumar.a.34@pg.com,00:00.0,sharma.b.10@pg.com,03:50.1
175,PTN LB (Colossus),PTN NST,0,System,20:44.1,NULL,NULL
176,PTN HFC (Colossus),PTN NST,0,System,21:38.8,NULL,NULL
177,PTN AD (Colossus),PTN NST,0,System,22:22.5,NULL,NULL
178,PTN TDC (Colossus),PTN NST,0,System,22:47.5,NULL,NULL
179,PTN SSC/ DMR (Colossus),PTN NST,0,System,23:23.2,NULL,NULL
180,PTN NST,PTN NST,0,System,24:13.5,NULL,NULL
181,H&S BC,PTN NST,0,System,25:12.6,NULL,NULL
182,H&S DSC,PTN NST,1,System,26:04.3,NULL,NULL
183,H&S SS,PTN NST,1,System,26:42.9,NULL,NULL
184,H&S SS 2IN1,PTN NST,1,System,27:04.7,NULL,NULL
185,H&S SB,PTN NST,1,System,28:04.4,NULL,NULL
186,H&S AHF,PTN NST,1,System,28:55.7,NULL,NULL
187,HC Base,PTN NST,1,System,29:49.1,NULL,NULL
188,H&S Basic Cool,PTN LB (Colossus),0,System,35:59.2,NULL,NULL
189,H&S Basic Cool,PTN HFC (Colossus),0,System,35:59.2,NULL,NULL
190,H&S Basic Cool,PTN AD (Colossus),0,System,35:59.2,NULL,NULL
191,H&S Basic Cool,PTN TDC (Colossus),0,System,35:59.2,NULL,NULL
192,H&S Basic Cool,PTN SSC/ DMR (Colossus),0,System,35:59.2,NULL,NULL
193,H&S Basic Cool,H&S BC,0,System,35:59.2,NULL,NULL
194,H&S Basic Cool,H&S DSC,0,System,35:59.2,NULL,NULL
195,H&S Basic Cool,H&S SS,0,System,35:59.2,NULL,NULL
196,H&S Basic Cool,H&S AHF,0,System,35:59.2,NULL,NULL
197,H&S Basic Cool,H&S SB,0,System,35:59.2,NULL,NULL
198,H&S Basic Cool,PTN NST,0,System,35:59.2,NULL,NULL
199,H&S Basic Cool,H&S Basic Smooth,0,System,35:59.2,NULL,NULL
200,H&S Basic Cool,H&S SS 2IN1,0,System,35:59.2,NULL,NULL
201,H&S Basic Cool,H&S Basic Cool,0,System,35:59.2,NULL,NULL
202,PTN LB (Colossus),H&S Basic Cool,0,System,35:59.2,NULL,NULL
203,PTN HFC (Colossus),H&S Basic Cool,0,System,35:59.2,NULL,NULL
204,PTN AD (Colossus),H&S Basic Cool,0,System,35:59.2,NULL,NULL
205,PTN TDC (Colossus),H&S Basic Cool,0,System,35:59.2,NULL,NULL
206,PTN SSC/ DMR (Colossus),H&S Basic Cool,0,System,35:59.2,NULL,NULL
207,H&S BC,H&S Basic Cool,0,System,35:59.2,NULL,NULL
208,H&S DSC,H&S Basic Cool,1,System,35:59.2,NULL,NULL
209,H&S SS,H&S Basic Cool,1,System,35:59.2,NULL,NULL
210,H&S AHF,H&S Basic Cool,1,System,35:59.2,NULL,NULL
211,H&S SB,H&S Basic Cool,1,System,35:59.2,NULL,NULL
212,PTN NST,H&S Basic Cool,0,System,35:59.2,NULL,NULL
213,H&S Basic Smooth,H&S Basic Cool,0,System,35:59.2,NULL,NULL
214,H&S SS 2IN1,H&S Basic Cool,1,System,35:59.2,NULL,NULL
215,H&S Basic Smooth,PTN LB (Colossus),0,System,35:59.2,NULL,NULL
216,H&S Basic Smooth,PTN HFC (Colossus),0,System,35:59.2,NULL,NULL
217,H&S Basic Smooth,PTN AD (Colossus),0,System,35:59.2,NULL,NULL
218,H&S Basic Smooth,PTN TDC (Colossus),0,System,35:59.2,NULL,NULL
219,H&S Basic Smooth,PTN SSC/ DMR (Colossus),0,System,35:59.2,NULL,NULL
220,H&S Basic Smooth,H&S BC,0,System,35:59.2,NULL,NULL
221,H&S Basic Smooth,H&S DSC,0,System,35:59.2,NULL,NULL
222,H&S Basic Smooth,H&S SS,0,System,35:59.2,NULL,NULL
223,H&S Basic Smooth,H&S AHF,0,System,35:59.2,NULL,NULL
224,H&S Basic Smooth,H&S SB,0,System,35:59.2,NULL,NULL
225,H&S Basic Smooth,PTN NST,0,System,35:59.2,NULL,NULL
226,H&S Basic Smooth,H&S Basic Smooth,0,System,35:59.2,NULL,NULL
227,H&S Basic Smooth,H&S SS 2IN1,0,System,35:59.2,NULL,NULL
228,H&S Basic Smooth,H&S Basic Cool,0,System,35:59.2,NULL,NULL
229,PTN LB (Colossus),H&S Basic Smooth,0,System,35:59.2,NULL,NULL
230,PTN HFC (Colossus),H&S Basic Smooth,0,System,35:59.2,NULL,NULL
231,PTN AD (Colossus),H&S Basic Smooth,0,System,35:59.2,NULL,NULL
232,PTN TDC (Colossus),H&S Basic Smooth,0,System,35:59.2,NULL,NULL
233,PTN SSC/ DMR (Colossus),H&S Basic Smooth,0,System,35:59.2,NULL,NULL
234,H&S BC,H&S Basic Smooth,0,System,35:59.2,NULL,NULL
235,H&S DSC,H&S Basic Smooth,1,System,35:59.2,NULL,NULL
236,H&S SS,H&S Basic Smooth,1,System,35:59.2,NULL,NULL
237,H&S AHF,H&S Basic Smooth,1,System,35:59.2,NULL,NULL
238,H&S SB,H&S Basic Smooth,1,System,35:59.2,NULL,NULL
239,PTN NST,H&S Basic Smooth,0,System,35:59.2,NULL,NULL
240,H&S SS 2IN1,H&S Basic Smooth,1,System,35:59.2,NULL,NULL
241,H&S Basic Cool,H&S Basic Smooth,0,System,35:59.2,NULL,NULL
242,H&S Basic Cool,HC Base,1,System,35:59.2,NULL,NULL
243,HC Base,H&S Basic Cool,1,System,35:59.2,NULL,NULL
244,H&S Basic Smooth,HC Base,1,System,35:59.2,NULL,NULL
245,HC Base,H&S Basic Smooth,1,System,35:59.2,NULL,NULL
246,H&S AHF 2IN1,H&S AHF,0,System,21:06.9,NULL,NULL
247,H&S AHF 2IN1,H&S AHF 2IN1,0,System,21:07.2,NULL,NULL
248,H&S AHF 2IN1,H&S Basic Cool,1,System,21:07.7,NULL,NULL
249,H&S AHF 2IN1,H&S Basic Smooth,1,System,21:07.8,NULL,NULL
250,H&S AHF 2IN1,H&S BC,1,System,21:07.9,NULL,NULL
251,H&S AHF 2IN1,H&S SB,0,System,21:08.2,NULL,NULL
252,H&S AHF 2IN1,H&S SB 2IN1,0,System,21:08.5,NULL,NULL
253,H&S AHF 2IN1,H&S SS,0,System,21:08.7,NULL,NULL
254,H&S AHF 2IN1,H&S SS 2IN1,0,System,21:09.0,NULL,NULL
255,H&S AHF 2IN1,HC Base,1,System,21:09.3,NULL,NULL
256,H&S AHF 2IN1,PTN AD (Colossus),1,System,21:09.4,NULL,NULL
257,H&S AHF 2IN1,PTN HFC (Colossus),1,System,21:09.6,NULL,NULL
258,H&S AHF 2IN1,PTN LB (Colossus),1,System,21:09.8,NULL,NULL
259,H&S AHF 2IN1,PTN NST,1,System,21:10.0,NULL,NULL
260,H&S AHF 2IN1,PTN SSC/ DMR (Colossus),1,System,21:10.1,NULL,NULL
261,H&S AHF 2IN1,PTN TDC (Colossus),1,System,21:10.3,NULL,NULL
262,H&S AHF,H&S AHF 2IN1,0,System,21:10.4,NULL,NULL
263,H&S Basic Cool,H&S AHF 2IN1,0,System,21:10.7,NULL,NULL
264,H&S Basic Smooth,H&S AHF 2IN1,0,System,21:10.8,NULL,NULL
265,H&S BC,H&S AHF 2IN1,0,System,21:11.0,NULL,NULL
266,H&S SB,H&S AHF 2IN1,0,System,21:11.1,NULL,NULL
268,H&S SS,H&S AHF 2IN1,0,System,21:11.4,NULL,NULL
269,H&S SS 2IN1,H&S AHF 2IN1,0,System,21:11.5,NULL,NULL
270,HC Base,H&S AHF 2IN1,1,System,21:11.6,NULL,NULL
271,PTN AD (Colossus),H&S AHF 2IN1,0,System,21:11.7,NULL,NULL
272,PTN HFC (Colossus),H&S AHF 2IN1,0,System,21:11.8,NULL,NULL
273,PTN LB (Colossus),H&S AHF 2IN1,0,System,21:11.9,NULL,NULL
274,PTN NST,H&S AHF 2IN1,0,System,21:12.0,NULL,NULL
275,PTN SSC/ DMR (Colossus),H&S AHF 2IN1,0,System,21:12.1,NULL,NULL
276,PTN TDC (Colossus),H&S AHF 2IN1,0,System,21:12.2,NULL,NULL
277,H&S SB 2IN1,H&S AHF,0,System,21:12.3,NULL,NULL
278,H&S SB 2IN1,H&S AHF 2IN1,0,System,21:12.5,NULL,NULL
279,H&S SB 2IN1,H&S Basic Cool,1,System,21:12.7,NULL,NULL
280,H&S SB 2IN1,H&S Basic Smooth,1,System,21:12.8,NULL,NULL
281,H&S SB 2IN1,H&S BC,1,System,21:13.0,NULL,NULL
282,H&S SB 2IN1,H&S SB,0,System,21:13.2,NULL,NULL
283,H&S SB 2IN1,H&S SB 2IN1,0,System,21:13.3,NULL,NULL
284,H&S SB 2IN1,H&S SS,0,System,21:13.4,NULL,NULL
285,H&S SB 2IN1,H&S SS 2IN1,0,System,21:13.5,NULL,NULL
286,H&S SB 2IN1,HC Base,1,System,21:13.6,NULL,NULL
287,H&S SB 2IN1,PTN AD (Colossus),1,System,21:13.8,NULL,NULL
288,H&S SB 2IN1,PTN HFC (Colossus),1,System,21:13.9,NULL,NULL
289,H&S SB 2IN1,PTN LB (Colossus),1,System,21:14.0,NULL,NULL
290,H&S SB 2IN1,PTN NST,1,System,21:14.1,NULL,NULL
291,H&S SB 2IN1,PTN SSC/ DMR (Colossus),1,System,21:14.2,NULL,NULL
292,H&S SB 2IN1,PTN TDC (Colossus),1,System,21:14.3,NULL,NULL
293,H&S AHF,H&S SB 2IN1,0,System,21:14.5,NULL,NULL
295,H&S Basic Cool,H&S SB 2IN1,0,System,21:14.6,NULL,NULL
296,H&S Basic Smooth,H&S SB 2IN1,0,System,21:14.7,NULL,NULL
297,H&S BC,H&S SB 2IN1,0,System,21:14.8,NULL,NULL
298,H&S SB,H&S SB 2IN1,0,System,21:15.0,NULL,NULL
299,H&S SS,H&S SB 2IN1,0,System,21:15.1,NULL,NULL
300,H&S SS 2IN1,H&S SB 2IN1,0,System,21:15.3,NULL,NULL
301,HC Base,H&S SB 2IN1,1,System,21:15.6,NULL,NULL
302,PTN AD (Colossus),H&S SB 2IN1,0,System,21:15.8,NULL,NULL
303,PTN HFC (Colossus),H&S SB 2IN1,0,System,21:15.9,NULL,NULL
304,PTN LB (Colossus),H&S SB 2IN1,0,System,21:16.0,NULL,NULL
305,PTN NST,H&S SB 2IN1,0,System,21:16.2,NULL,NULL
306,PTN SSC/ DMR (Colossus),H&S SB 2IN1,0,System,21:16.3,NULL,NULL
307,PTN TDC (Colossus),H&S SB 2IN1,0,System,21:17.5,NULL,NULL
1354,H&S Max Cool,H&S AHF,0,System,36:39.8,NULL,NULL
1355,H&S Max Cool,H&S AHF 2IN1,0,System,36:40.0,NULL,NULL
1356,H&S Max Cool,H&S Basic Cool,0,System,36:40.2,NULL,NULL
1357,H&S Max Cool,H&S Basic Smooth,0,System,36:40.4,NULL,NULL
1358,H&S Max Cool,H&S BC,0,System,36:40.7,NULL,NULL
1359,H&S Max Cool,H&S Max Cool,0,System,36:40.9,NULL,NULL
1360,H&S Max Cool,H&S SB,0,System,36:41.1,NULL,NULL
1361,H&S Max Cool,H&S SB 2IN1,0,System,36:41.4,NULL,NULL
1362,H&S Max Cool,H&S SS,0,System,36:41.7,NULL,NULL
1363,H&S Max Cool,H&S SS 2IN1,0,System,36:41.9,NULL,NULL
1364,H&S Max Cool,HC Base,1,System,36:42.1,NULL,NULL
1365,H&S Max Cool,PTN AD (Colossus),0,System,36:42.3,NULL,NULL
1368,H&S AHF,H&S Max Cool,1,System,36:43.0,NULL,NULL
1369,H&S AHF 2IN1,H&S Max Cool,1,System,36:43.2,NULL,NULL
1370,H&S Basic Cool,H&S Max Cool,0,System,36:43.4,NULL,NULL
1371,H&S Basic Smooth,H&S Max Cool,0,System,36:43.6,NULL,NULL
1372,H&S BC,H&S Max Cool,0,System,36:43.9,NULL,NULL
1373,H&S SB,H&S Max Cool,1,System,36:44.2,NULL,NULL
1374,H&S SB 2IN1,H&S Max Cool,1,System,36:44.4,NULL,NULL
1375,H&S SS,H&S Max Cool,1,System,36:44.7,NULL,NULL
1376,H&S SS 2IN1,H&S Max Cool,1,System,36:45.0,NULL,NULL
1377,HC Base,H&S Max Cool,1,System,36:45.3,NULL,NULL
1378,PTN AD (Colossus),H&S Max Cool,0,System,36:45.5,NULL,NULL
1381,H&S AHF,Pantene Pro-V Hair Fall Protect Shampoo,1,System,12:13.6,NULL,NULL
1382,H&S AHF 2IN1,Pantene Pro-V Hair Fall Protect Shampoo,1,System,12:22.6,NULL,NULL
1383,H&S Basic Cool,Pantene Pro-V Hair Fall Protect Shampoo,0,System,12:31.4,NULL,NULL
1384,H&S Basic Smooth,Pantene Pro-V Hair Fall Protect Shampoo,0,System,12:38.9,NULL,NULL
1385,H&S BC,Pantene Pro-V Hair Fall Protect Shampoo,0,System,12:47.2,NULL,NULL
1386,H&S Max Cool,Pantene Pro-V Hair Fall Protect Shampoo,0,System,12:55.3,NULL,NULL
1387,H&S Neem,Pantene Pro-V Hair Fall Protect Shampoo,0,System,13:04.9,NULL,NULL
